"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3182:07:00","21.057","21.061","21.133","20.965"
"3182:08:00","21.056","21.061","21.133","20.966"
"3182:09:00","21.056","21.062","21.136","20.966"
"3182:10:00","21.057","21.063","21.139","20.970"
"3182:11:00","21.055","21.061","21.139","20.970"
"3182:12:00","21.057","21.063","21.141","20.971"
"3182:13:00","21.059","21.065","21.145","20.973"
"3182:14:00","21.060","21.066","21.144","20.977"
"3182:15:00","21.061","21.067","21.149","20.977"
"3182:16:00","21.064","21.069","21.150","20.976"
"3182:17:00","21.063","21.068","21.152","20.980"
"3182:18:00","21.065","21.070","21.151","20.984"
"3182:19:00","21.065","21.071","21.152","20.983"
"3182:20:00","21.065","21.071","21.153","20.981"
"3182:21:00","21.066","21.071","21.154","20.982"
"3182:22:00","21.067","21.072","21.156","20.981"
"3182:23:00","21.069","21.072","21.160","20.984"
"3182:24:00","21.069","21.072","21.162","20.984"
"3182:25:00","21.069","21.073","21.162","20.983"
"3182:25:00","21.069","21.073","21.162","20.983"
"3182:26:00","21.068","21.073","21.164","20.981"
"3182:27:00","21.068","21.074","21.168","20.985"
"3182:28:00","21.069","21.076","21.166","20.986"
"3182:29:00","21.070","21.076","21.170","20.988"
"3182:30:00","21.073","21.077","21.172","20.990"
"3182:31:00","21.074","21.078","21.175","20.992"
"3182:32:00","21.076","21.077","21.174","20.992"
"3182:33:00","21.078","21.079","21.174","20.990"
"3182:34:00","21.078","21.082","21.174","20.992"
"3182:35:00","21.078","21.081","21.178","20.994"
"3182:36:00","21.080","21.080","21.177","20.993"
"3182:37:00","21.083","21.081","21.179","20.998"
"3182:38:00","21.082","21.082","21.180","20.996"
"3182:39:00","21.085","21.084","21.181","20.998"
"3182:40:00","21.086","21.083","21.181","20.998"
"3182:41:00","21.086","21.085","21.180","20.999"
"3182:42:00","21.087","21.084","21.183","20.999"
"3182:43:00","21.088","21.085","21.185","20.999"
"3182:44:00","21.086","21.086","21.183","21.001"
"3182:45:00","21.089","21.089","21.186","21.003"
"3182:45:00","21.089","21.089","21.186","21.003"
"3182:46:00","21.086","21.088","21.187","21.001"
"3182:47:00","21.087","21.088","21.186","21.001"
"3182:48:00","21.085","21.089","21.186","21.003"
"3182:49:00","21.085","21.089","21.181","21.002"
"3182:50:00","21.086","21.089","21.183","21.001"
"3182:51:00","21.085","21.088","21.183","20.998"
"3182:52:00","21.086","21.090","21.181","20.999"
"3182:53:00","21.083","21.090","21.182","21.000"
"3182:54:00","21.086","21.092","21.183","21.000"
"3182:55:00","21.087","21.093","21.186","21.003"
"3182:56:00","21.086","21.094","21.188","21.007"
"3182:57:00","21.086","21.094","21.189","21.007"
"3182:58:00","21.088","21.096","21.190","21.010"
"3182:59:00","21.088","21.096","21.192","21.010"
"3183:00:00","21.088","21.098","21.191","21.010"
"3183:01:00","21.087","21.098","21.192","21.012"
"3183:02:00","21.089","21.099","21.192","21.011"
"3183:03:00","21.089","21.099","21.195","21.011"
"3183:04:00","21.091","21.099","21.196","21.012"
"3183:05:00","21.091","21.100","21.196","21.011"
"3183:05:00","21.091","21.100","21.196","21.011"
"3183:06:00","21.090","21.100","21.196","21.013"
"3183:07:00","21.091","21.100","21.195","21.010"
"3183:08:00","21.093","21.100","21.195","21.010"
"3183:09:00","21.092","21.102","21.195","21.011"
"3183:10:00","21.094","21.102","21.195","21.012"
"3183:11:00","21.095","21.103","21.194","21.012"
"3183:12:00","21.092","21.102","21.192","21.013"
"3183:13:00","21.093","21.101","21.193","21.013"
"3183:14:00","21.094","21.103","21.193","21.012"
"3183:15:00","21.094","21.104","21.195","21.012"
"3183:16:00","21.093","21.102","21.196","21.014"
"3183:17:00","21.094","21.104","21.195","21.014"
"3183:18:00","21.096","21.104","21.196","21.014"
"3183:19:00","21.096","21.104","21.197","21.015"
"3183:20:00","21.097","21.104","21.197","21.017"
"3183:21:00","21.096","21.105","21.196","21.017"
"3183:22:00","21.098","21.105","21.196","21.013"
"3183:23:00","21.096","21.104","21.197","21.011"
"3183:24:00","21.095","21.104","21.195","21.010"
"3183:25:00","21.096","21.103","21.192","21.011"
"3183:25:00","21.096","21.103","21.192","21.011"
"3183:26:00","21.095","21.104","21.192","21.009"
"3183:27:00","21.096","21.103","21.193","21.007"
"3183:28:00","21.096","21.103","21.192","21.005"
"3183:29:00","21.095","21.101","21.189","21.004"
"3183:30:00","21.093","21.102","21.185","21.000"
"3183:31:00","21.094","21.102","21.187","21.002"
"3183:32:00","21.091","21.102","21.184","21.003"
"3183:33:00","21.092","21.103","21.183","21.002"
"3183:34:00","21.092","21.101","21.185","21.002"
"3183:35:00","21.092","21.102","21.186","21.002"
"3183:36:00","21.091","21.101","21.182","21.000"
"3183:37:00","21.090","21.102","21.177","20.999"
"3183:38:00","21.090","21.102","21.177","21.001"
"3183:39:00","21.090","21.103","21.174","21.000"
"3183:40:00","21.089","21.101","21.171","20.999"
"3183:41:00","21.089","21.100","21.169","20.996"
"3183:42:00","21.086","21.099","21.169","20.994"
"3183:43:00","21.085","21.097","21.166","20.992"
"3183:44:00","21.087","21.095","21.164","20.990"
"3183:45:00","21.084","21.096","21.163","20.991"
"3183:45:00","21.084","21.096","21.163","20.991"
"3183:46:00","21.082","21.095","21.162","20.989"
"3183:47:00","21.084","21.094","21.158","20.987"
"3183:48:00","21.083","21.092","21.153","20.986"
"3183:49:00","21.083","21.093","21.152","20.984"
"3183:50:00","21.082","21.092","21.152","20.983"
"3183:51:00","21.082","21.093","21.149","20.984"
"3183:52:00","21.081","21.091","21.146","20.980"
"3183:53:00","21.081","21.090","21.148","20.979"
"3183:54:00","21.080","21.088","21.145","20.979"
"3183:55:00","21.079","21.088","21.144","20.977"
"3183:56:00","21.078","21.088","21.144","20.978"
"3183:57:00","21.081","21.087","21.145","20.979"
"3183:58:00","21.080","21.088","21.143","20.979"
"3183:59:00","21.080","21.088","21.144","20.982"
"3184:00:00","21.081","21.087","21.145","20.982"
"3184:01:00","21.082","21.090","21.147","20.985"
"3184:02:00","21.083","21.088","21.152","20.984"
"3184:03:00","21.083","21.089","21.151","20.987"
"3184:04:00","21.084","21.088","21.152","20.989"
"3184:05:00","21.083","21.088","21.151","20.988"
"3184:05:00","21.083","21.088","21.151","20.988"
"3184:06:00","21.084","21.087","21.150","20.988"
"3184:07:00","21.083","21.087","21.151","20.989"
"3184:08:00","21.082","21.089","21.156","20.992"
"3184:09:00","21.081","21.088","21.157","20.993"
"3184:10:00","21.080","21.089","21.156","20.990"
"3184:11:00","21.082","21.089","21.158","20.991"
"3184:12:00","21.081","21.090","21.160","20.991"
"3184:13:00","21.082","21.089","21.160","20.991"
"3184:14:00","21.083","21.089","21.161","20.991"
"3184:15:00","21.083","21.089","21.158","20.990"
"3184:16:00","21.085","21.091","21.162","20.991"
"3184:17:00","21.083","21.090","21.160","20.990"
"3184:18:00","21.083","21.089","21.162","20.994"
"3184:19:00","21.081","21.091","21.164","20.995"
"3184:20:00","21.084","21.092","21.165","20.997"
"3184:21:00","21.083","21.094","21.165","20.997"
"3184:22:00","21.082","21.093","21.169","20.998"
"3184:23:00","21.083","21.091","21.170","20.999"
"3184:24:00","21.084","21.094","21.169","21.000"
"3184:25:00","21.083","21.093","21.170","20.999"
